ts_iso,input_hash,route,latency_ms,in_tokens,out_tokens,est_cost_usd,notes
2025-09-22T22:15:16.847560Z,efeabecea3,REASONING,0,16,94,0.00098,CLI seeded query
2025-09-22T22:15:16.871603Z,d7e90df76e,REASONING,0,30,108,0.001155,CLI seeded query
2025-09-22T22:15:16.874014Z,c5ae08380b,REASONING,0,19,97,0.001017,CLI seeded query
2025-09-22T22:15:25.181511Z,efeabecea3,REASONING,0,16,94,0.00098,CLI seeded query
2025-09-22T22:15:25.189420Z,d7e90df76e,REASONING,0,30,108,0.001155,CLI seeded query
2025-09-22T22:15:25.192062Z,c5ae08380b,REASONING,0,19,97,0.001017,CLI seeded query
2025-09-22T22:16:01.967429Z,63690d7f7d,FAST,0,12,87,5.4e-05,CLI seeded FAST
2025-09-22T23:02:42.391682Z,83d8e0c21c,FAST,2,24,100,6.4e-05,
2025-09-22T23:12:32.106533Z,83d8e0c21c,REASONING,0,24,102,0.00108,
2025-09-22T23:12:35.407613Z,83d8e0c21c,FAST,0,24,100,6.4e-05,
2025-09-22T23:16:17.551192Z,83d8e0c21c,FAST,1,24,100,6.4e-05,
2025-09-22T23:35:05.748635Z,83d8e0c21c,FAST,0,24,99,6.3e-05,
2025-09-22T23:35:11.094617Z,83d8e0c21c,REASONING,0,24,102,0.00108,
2025-09-22T23:51:25.272469Z,83d8e0c21c,FAST,0,24,99,6.3e-05,
2025-09-22T23:51:28.887928Z,83d8e0c21c,REASONING,0,24,102,0.00108,
2025-09-22T23:52:44.489401Z,83d8e0c21c,FAST,0,24,99,6.3e-05,
2025-09-23T01:03:32.259876Z,83d8e0c21c,REASONING,0,24,102,0.00108,
2025-09-23T01:05:28.223663Z,83d8e0c21c,FAST,0,24,99,6.3e-05,
